------------------------------------------------------------------------

_Search parameters_:
Nucleus:39K

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
39 	K      	19 	20 	4678.6    	0.3     	7/2-              	95 FS 20                 	1082      	        	12        	LT      	          	        	          	          	        
39 	K      	19 	20 	4678.6    	0.3     	7/2-              	95 FS 20                 	1864.5    	0.4     	100.0     	1       	M1+E2     	-0.42   	0.04      	          	        
39 	K      	19 	20 	4678.6    	0.3     	7/2-              	95 FS 20                 	796       	        	12        	LT      	          	        	          	          	        
39 	K      	19 	20 	4678.6    	0.3     	7/2-              	95 FS 20                 	1660      	        	12        	LT      	          	        	          	          	        
39 	K      	19 	20 	4678.6    	0.3     	7/2-              	95 FS 20                 	552.44    	0.14    	8.1       	1       	M1(+E2)   	-0.1    	0.2       	          	        
39 	K      	19 	20 	4737.5    	0.5     	(5/2,7/2,9/2)-    	0.08 PS 0.04             	1923.5    	0.3     	100       	        	M1+E2     	        	          	          	        
39 	K      	19 	20 	4737.9    	1.9     	5/2+              	22 FS 4                  	4737.9    	1.9     	100       	        	E2(+M1)   	-50     	LT        	          	        
39 	K      	19 	20 	4930.1    	0.4     	3/2+              	21 FS 9                  	847       	        	          	        	          	        	          	          	        
39 	K      	19 	20 	4930.1    	0.4     	3/2+              	21 FS 9                  	4931.4    	1.2     	100       	3       	M1+E2     	-1.3    	0.6       	          	        
39 	K      	19 	20 	4930.1    	0.4     	3/2+              	21 FS 9                  	2407.4    	0.3     	32        	3       	M1+E2     	+0.6    	GT        	          	        
39 	K      	19 	20 	5009.1    	0.3     	7/2-              	0.26 PS 0.04             	883.08    	0.15    	100       	7       	M1(+E2)   	-0.04   	0.04      	          	        
39 	K      	19 	20 	5009.1    	0.3     	7/2-              	0.26 PS 0.04             	1412      	        	30        	7       	          	        	          	          	        
39 	K      	19 	20 	5010.6    	0.8     	(3/2,5/2-,7/2-)   	35 FS 10                 	1127.5    	        	100       	8       	          	        	          	          	        
39 	K      	19 	20 	5010.6    	0.8     	(3/2,5/2-,7/2-)   	35 FS 10                 	1992.2    	0.3     	56        	8       	          	        	          	          	        
