A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
41 	CA     	20 	21 	8656      	10      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	8674      	3       	                  	                         
41 	CA     	20 	21 	8700      	4       	5/2+              	                         
41 	CA     	20 	21 	8741      	15      	                  	                         
41 	CA     	20 	21 	8783      	10      	5/2-              	                         
41 	CA     	20 	21 	8855      	10      	(9/2+)            	                         
41 	CA     	20 	21 	8916      	10      	(3/2-,9/2+)       	                         
41 	CA     	20 	21 	8980      	10      	(5/2)+            	                         
41 	CA     	20 	21 	8997      	10      	(9/2+)            	                         
41 	CA     	20 	21 	9047      	15      	(3/2,5/2)+        	                         
41 	CA     	20 	21 	9084      	10      	5/2-              	                         
41 	CA     	20 	21 	9140      	15      	                  	                         
41 	CA     	20 	21 	9177      	10      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	9216      	15      	                  	                         
41 	CA     	20 	21 	9273      	10      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	9315      	10      	                  	                         
41 	CA     	20 	21 	9375      	10      	5/2+              	                         
41 	CA     	20 	21 	9420      	10      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	9475      	10      	                  	                         
41 	CA     	20 	21 	9555      	15      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	9590      	7       	                  	                         
41 	CA     	20 	21 	9616      	7       	                  	                         
41 	CA     	20 	21 	9650      	20      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	9720      	20      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	9880      	20      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	9910      	20      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	9920      	20      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	10030     	20      	                  	                         
41 	CA     	20 	21 	10113     	7       	                  	                         
41 	CA     	20 	21 	10177     	15      	                  	                         
41 	CA     	20 	21 	10194     	7       	                  	                         
41 	CA     	20 	21 	10238     	7       	                  	                         
41 	CA     	20 	21 	10300     	20      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	10339     	7       	                  	                         
41 	CA     	20 	21 	10421     	7       	                  	                         
41 	CA     	20 	21 	10752     	15      	                  	                         
41 	CA     	20 	21 	10859     	15      	(3/2,5/2)+        	                         
41 	CA     	20 	21 	10950     	20      	(3/2,5/2)+        	                         
41 	CA     	20 	21 	11817     	15      	                  	                         
